headerdatestamp|headeridentifier|headersetSpec|metadata.mods.genre#text|metadata.mods.genre@authority|metadata.mods.identifier.0#text|metadata.mods.identifier.0@type|metadata.mods.identifier.1#text|metadata.mods.identifier.1@type|metadata.mods.language.languageTerm#text|metadata.mods.language.languageTerm@type|metadata.mods.location.url.0|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.location.url.1@usage|metadata.mods.location.url.2#text|metadata.mods.location.url.2@access|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@type|metadata.mods.namenamePart|metadata.mods.originInfo.0publisher|metadata.mods.originInfo.1dateOther|metadata.mods.relatedItem.titleInfotitle|metadata.mods.relatedItem@type|metadata.mods.subjecttopic|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsaccessCondition|metadata.modsnote|metadata.modstypeOfResource
2018-11-28T19:03:22Z|univmonthly_100|univmonthly|text|dct|univmonthly_vol1-no2|local|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1193|local|Eng|text|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1193|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A100|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A100/datastream/TN/view|preview|creator|text|East Tennessee University.|The University of Tennessee Libraries, Knoxville|1875-04-15|The University of Tennessee Libraries, Special Collections, Knoxville|original|East Tennessee University -- Periodicals|University monthly.|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Public domain|Publications by students|text
2018-11-28T19:03:22Z|univmonthly_109|univmonthly|text|dct|univmonthly_vol1-no1|local|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1192|local|Eng|text|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1192|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A109|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A109/datastream/TN/view|preview|creator|text|East Tennessee University.|The University of Tennessee Libraries, Knoxville|1875-03-15|The University of Tennessee Libraries, Special Collections, Knoxville|original|East Tennessee University -- Periodicals|University monthly.|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Public domain|Publications by students|text
2018-11-28T19:03:22Z|univmonthly_10|univmonthly|text|dct|univmonthly_vol3-no3|local|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1203|local|Eng|text|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1203|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A10|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A10/datastream/TN/view|preview|creator|text|East Tennessee University.|The University of Tennessee Libraries, Knoxville|1876-04-24|The University of Tennessee Libraries, Special Collections, Knoxville|original|East Tennessee University -- Periodicals|University monthly.|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Public domain|Publications by students|text
2018-11-28T19:03:22Z|univmonthly_19|univmonthly|text|dct|univmonthly_vol3-no2|local|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1202|local|Eng|text|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1202|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A19|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A19/datastream/TN/view|preview|creator|text|East Tennessee University.|The University of Tennessee Libraries, Knoxville|1876-03-24|The University of Tennessee Libraries, Special Collections, Knoxville|original|East Tennessee University -- Periodicals|University monthly.|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Public domain|Publications by students|text
2018-11-28T19:03:22Z|univmonthly_1|univmonthly|text|dct|univmonthly_vol3-no4|local|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1204|local|Eng|text|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1204|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A1|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A1/datastream/TN/view|preview|creator|text|East Tennessee University.|The University of Tennessee Libraries, Knoxville|1876-05-24|The University of Tennessee Libraries, Special Collections, Knoxville|original|East Tennessee University -- Periodicals|University monthly.|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Public domain|Publications by students|text
2018-11-28T19:03:22Z|univmonthly_28|univmonthly|text|dct|univmonthly_vol2-no6|local|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1201|local|Eng|text|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1201|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A28|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A28/datastream/TN/view|preview|creator|text|East Tennessee University.|The University of Tennessee Libraries, Knoxville|1876-02-24|The University of Tennessee Libraries, Special Collections, Knoxville|original|East Tennessee University -- Periodicals|University monthly.|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Public domain|Publications by students|text
2018-11-28T19:03:22Z|univmonthly_37|univmonthly|text|dct|univmonthly_vol2-no5|local|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1200|local|Eng|text|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1200|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A37|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A37/datastream/TN/view|preview|creator|text|East Tennessee University.|The University of Tennessee Libraries, Knoxville|1876-01-20|The University of Tennessee Libraries, Special Collections, Knoxville|original|East Tennessee University -- Periodicals|University monthly.|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Public domain|Publications by students|text
2018-11-28T19:03:22Z|univmonthly_46|univmonthly|text|dct|univmonthly_vol2-no4|local|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1199|local|Eng|text|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1199|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A46|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A46/datastream/TN/view|preview|creator|text|East Tennessee University.|The University of Tennessee Libraries, Knoxville|1875-12-20|The University of Tennessee Libraries, Special Collections, Knoxville|original|East Tennessee University -- Periodicals|University monthly.|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Public domain|Publications by students|text
2018-11-28T19:03:22Z|univmonthly_55|univmonthly|text|dct|univmonthly_vol2-no3|local|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1198|local|Eng|text|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1198|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A55|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A55/datastream/TN/view|preview|creator|text|East Tennessee University.|The University of Tennessee Libraries, Knoxville|1875-11-20|The University of Tennessee Libraries, Special Collections, Knoxville|original|East Tennessee University -- Periodicals|University monthly.|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Public domain|Publications by students|text
2018-11-28T19:03:22Z|univmonthly_64|univmonthly|text|dct|univmonthly_vol2-no2|local|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1197|local|Eng|text|http://digital.lib.utk.edu/mpds/?ckey=univmonthly&iid=1197|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A64|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/univmonthly%3A64/datastream/TN/view|preview|creator|text|East Tennessee University.|The University of Tennessee Libraries, Knoxville|1875-10-23|The University of Tennessee Libraries, Special Collections, Knoxville|original|East Tennessee University -- Periodicals|University monthly.|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Public domain|Publications by students|text
